1	Q0	1542	1	43,10837	G14R4
1	Q0	2319	2	42,15067	G14R4
1	Q0	1885	3	42,14629	G14R4
1	Q0	1280	4	40,150367	G14R4
1	Q0	435		5	40,148867	G14R4
1	Q0	3077	6	40,147106	G14R4
1	Q0	637		7	40,108299	G14R4
1	Q0	98		8	33,06386	G14R4
1	Q0	143		9	33,06386	G14R4
1	Q0	1271	10	33,06386	G14R4
1	Q0	3190	11	33,06386	G14R4
1	Q0	414		12	33,06332	G14R4
1	Q0	3023	13	33,06228	G14R4
1	Q0	1417	14	33,06164	G14R4
1	Q0	1161	15	33,05485	G14R4
1	Q0	1440	16	33,05407	G14R4
1	Q0	2317	17	32,10356	G14R4
1	Q0	2184	18	32,10278	G14R4
1	Q0	2738	19	32,10278	G14R4
1	Q0	1685	20	32,10206	G14R4
1	Q0	2567	21	32,10178	G14R4
1	Q0	2632	22	32,10102	G14R4
1	Q0	1680	23	32,06824	G14R4
1	Q0	1591	24	32,068	G14R4
1	Q0	1827	25	32,06557	G14R4
1	Q0	1195	26	32,06482	G14R4
1	Q0	1682	27	32,06479	G14R4
1	Q0	2372	28	32,06463	G14R4
1	Q0	92		29	32,06407	G14R4
1	Q0	1435	30	32,06407	G14R4
1	Q0	1164	31	32,06404	G14R4
1	Q0	1544	32	32,06379	G14R4
1	Q0	2198	33	32,06379	G14R4
1	Q0	1315	34	32,06314	G14R4
1	Q0	2201	35	32,06314	G14R4
1	Q0	1412	36	32,06303	G14R4
1	Q0	1571	37	32,06303	G14R4
1	Q0	2371	38	32,06303	G14R4
1	Q0	3136	39	32,06303	G14R4
1	Q0	2054	40	32,06236	G14R4
1	Q0	1033	41	32,0622	G14R4
1	Q0	1393	42	32,06136	G14R4
1	Q0	1572	43	32,06136	G14R4
1	Q0	1236	44	32,0606	G14R4
1	Q0	1410	45	32,0187	G14R4
1	Q0	1163	46	31,06331	G14R4
1	Q0	1408	47	30,104277	G14R4
1	Q0	1324	48	30,103556	G14R4
1	Q0	1846	49	30,103556	G14R4
1	Q0	1928	50	30,102777	G14R4
1	Q0	2625	51	30,102777	G14R4
1	Q0	3064	52	30,102058	G14R4
1	Q0	1697	53	30,101016	G14R4
1	Q0	615		54	30,0662831	G14R4
1	Q0	1348	55	30,0662831	G14R4
1	Q0	1948	56	30,0662831	G14R4
1	Q0	2046	57	30,0662831	G14R4
1	Q0	2313	58	30,0662831	G14R4
1	Q0	2438	59	30,0662831	G14R4
1	Q0	2572	60	30,0662831	G14R4
1	Q0	2821	61	30,0662831	G14R4
1	Q0	2864	62	30,0662831	G14R4
